date,rain_mm,total_runoff_mm,crop_water_uptake_mm,soil_moisture_mm,percolation_to_groundwater_mm
2022-06-01,0.0,0.0,0.0,0.0,0.0
2022-06-02,0.0,0.0,0.0,0.0,0.0
2022-06-03,0.0,0.0,0.0,0.0,0.0
2022-06-04,0.0,0.0,0.0,0.0,0.0
2022-06-05,0.0,0.0,0.0,0.0,0.0
2022-06-06,0.0,0.0,0.0,0.0,0.0
2022-06-07,0.0,0.0,0.0,0.0,0.0
2022-06-08,5.25,1.05,4,0.142857142857143,0.05714285714285719
2022-06-09,2.25,0.45,1.9428571428571428,0.0,0.0
2022-06-10,0.0,0.0,0.0,0.0,0.0
2022-06-11,0.0,0.0,0.0,0.0,0.0
2022-06-12,8.0,1.6,4,1.7142857142857146,0.6857142857142857
2022-06-13,27.0,8.1,4,11.86734693877551,4.746938775510204
2022-06-14,0.0,0.0,4,5.6195335276967935,2.2478134110787167
2022-06-15,0.0,0.0,4,1.1568096626405668,0.46272386505622665
2022-06-16,0.0,0.0,1.1568096626405668,0.0,0.0
2022-06-17,0.75,0.15000000000000002,0.6,0.0,0.0
2022-06-18,0.0,0.0,0.0,0.0,0.0
2022-06-19,0.75,0.15000000000000002,0.6,0.0,0.0
2022-06-20,1.25,0.25,1.0,0.0,0.0
2022-06-21,6.5,1.3,4,0.8571428571428573,0.34285714285714286
2022-06-22,43.5,13.049999999999999,4,19.50510204081633,7.802040816326528
2022-06-23,1.0,0.2,4,11.64650145772595,4.658600583090379
2022-06-24,6.75,1.35,4,9.318929612661393,3.7275718450645563
2022-06-25,0.25,0.05,4,3.942092580472423,1.5768370321889686
2022-06-26,0.0,0.0,3.942092580472423,0.0,0.0
2022-06-27,16.75,3.35,4,6.714285714285715,2.685714285714285
2022-06-28,0.25,0.05,4,2.0816326530612255,0.83265306122449
2022-06-29,0.0,0.0,2.0816326530612255,0.0,0.0
2022-06-30,0.5,0.1,0.4,0.0,0.0
2022-07-01,1.75,0.35000000000000003,1.4,0.0,0.0
2022-07-02,0.0,0.0,0.0,0.0,0.0
2022-07-03,0.0,0.0,0.0,0.0,0.0
2022-07-04,2.0,0.4,1.6,0.0,0.0
2022-07-05,1.25,0.25,1.0,0.0,0.0
2022-07-06,0.0,0.0,0.0,0.0,0.0
2022-07-07,10.25,2.0500000000000003,4,2.9999999999999996,1.1999999999999997
2022-07-08,22.25,4.45,4,12.000000000000002,4.799999999999999
2022-07-09,7.75,1.55,4,10.142857142857142,4.057142857142857
2022-07-10,23.25,4.65,4,17.6734693877551,7.0693877551020385
2022-07-11,16.0,3.2,4,18.909620991253647,7.563848396501459
2022-07-12,1.5,0.30000000000000004,4,11.506872136609747,4.602748854643899
2022-07-13,9.5,1.9000000000000001,4,10.79062295472125,4.316249181888498
2022-07-14,1.0,0.2,4,5.421873539086608,2.168749415634643
2022-07-15,2.25,0.45,4,2.30133824220472,0.9205352968818876
2022-07-16,0.0,0.0,2.30133824220472,0.0,0.0
2022-07-17,14.25,2.85,4,5.2857142857142865,2.114285714285714
2022-07-18,12.75,2.5500000000000003,4,8.204081632653061,3.281632653061223
2022-07-19,11.75,2.35,4,9.717201166180757,3.8868804664723022
2022-07-20,1.75,0.35000000000000003,4,5.083715118700542,2.033486047480216
2022-07-21,0.25,0.05,4,0.9169393705003871,0.3667757482001547
2022-07-22,0.5,0.1,1.316939370500387,0.0,0.0
2022-07-23,3.25,0.65,2.6,0.0,0.0
2022-07-24,6.25,1.25,4,0.7142857142857143,0.2857142857142857
2022-07-25,0.5,0.1,1.1142857142857143,0.0,0.0
2022-07-26,3.0,0.6000000000000001,2.4,0.0,0.0
2022-07-27,33.25,9.975,4,13.767857142857142,5.507142857142856
2022-07-28,0.0,0.0,4,6.9770408163265305,2.790816326530612
2022-07-29,1.5,0.30000000000000004,4,2.9836005830903787,1.1934402332361511
2022-07-30,0.0,0.0,2.9836005830903787,0.0,0.0
2022-07-31,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,0.0,0.0
2022-08-02,0.0,0.0,0.0,0.0,0.0
2022-08-03,0.0,0.0,0.0,0.0,0.0
2022-08-04,6.75,1.35,4,1.0000000000000002,0.40000000000000013
2022-08-05,0.5,0.1,1.4000000000000001,0.0,0.0
2022-08-06,0.0,0.0,0.0,0.0,0.0
2022-08-07,0.0,0.0,0.0,0.0,0.0
2022-08-08,26.0,7.8,4,10.142857142857142,4.057142857142857
2022-08-09,0.5,0.1,4,4.673469387755103,1.8693877551020401
2022-08-10,3.0,0.6000000000000001,4,2.19533527696793,0.8781341107871721
2022-08-11,0.25,0.05,2.39533527696793,0.0,0.0
2022-08-12,1.25,0.25,1.0,0.0,0.0
2022-08-13,0.0,0.0,0.0,0.0,0.0
2022-08-14,0.0,0.0,0.0,0.0,0.0
2022-08-15,4.25,0.8500000000000001,3.4,0.0,0.0
2022-08-16,0.0,0.0,0.0,0.0,0.0
2022-08-17,0.0,0.0,0.0,0.0,0.0
2022-08-18,1.25,0.25,1.0,0.0,0.0
2022-08-19,0.0,0.0,0.0,0.0,0.0
2022-08-20,0.0,0.0,0.0,0.0,0.0
2022-08-21,0.0,0.0,0.0,0.0,0.0
2022-08-22,2.0,0.4,1.6,0.0,0.0
2022-08-23,0.0,0.0,0.0,0.0,0.0
2022-08-24,0.0,0.0,0.0,0.0,0.0
2022-08-25,1.25,0.25,1.0,0.0,0.0
2022-08-26,0.0,0.0,0.0,0.0,0.0
2022-08-27,0.0,0.0,0.0,0.0,0.0
2022-08-28,0.0,0.0,0.0,0.0,0.0
2022-08-29,0.0,0.0,0.0,0.0,0.0
2022-08-30,17.25,3.45,4,7.000000000000001,2.8
2022-08-31,0.0,0.0,4,2.1428571428571437,0.8571428571428572
2022-09-01,33.5,10.049999999999999,4,15.423469387755107,6.169387755102042
2022-09-02,0.0,0.0,4,8.159620991253648,3.2638483965014586
2022-09-03,38.5,11.549999999999999,4,22.221157850895466,8.888463140358184
2022-09-04,8.0,1.6,4,17.58654132206819,7.034616528827275
2022-09-05,0.5,0.1,4,9.990386658620135,3.9961546634480527
2022-09-06,0.0,0.0,4,4.278847613300097,1.7115390453200385
2022-09-07,1.75,0.35000000000000003,4,1.1991768666429266,0.4796707466571706
2022-09-08,3.0,0.6000000000000001,3.5991768666429267,0.0,0.0
2022-09-09,11.25,2.25,4,3.5714285714285716,1.4285714285714284
2022-09-10,22.0,4.4,4,12.26530612244898,4.906122448979591
2022-09-11,8.25,1.6500000000000001,4,10.618075801749272,4.247230320699709
2022-09-12,14.25,2.85,4,12.870054144106621,5.148021657642648
2022-09-13,5.0,1.0,4,9.192895817219016,3.6771583268876054
2022-09-14,0.75,0.15000000000000002,4,4.137782726585011,1.6551130906340044
2022-09-15,0.0,0.0,4,0.0984162332750081,0.039366493310003234
2022-09-16,13.0,2.6,4,4.6417258809107205,1.8566903523642884
2022-09-17,3.75,0.75,4,2.6012327720790855,1.040493108831634
2022-09-18,58.75,23.5,4,24.17945198005649,9.671780792022595
2022-09-19,79.5,57.679451980056484,4,30.000000000000004,11.999999999999996
2022-09-20,0.0,0.0,4,18.571428571428577,7.428571428571427
2022-09-21,0.0,0.0,4,10.408163265306127,4.163265306122449
2022-09-22,8.25,1.6500000000000001,4,9.29154518950438,3.716618075801751
2022-09-23,0.0,0.0,4,3.779675135360271,1.5118700541441084
2022-09-24,0.0,0.0,3.779675135360271,0.0,0.0
2022-09-25,0.0,0.0,0.0,0.0,0.0
2022-09-26,0.0,0.0,0.0,0.0,0.0
2022-09-27,0.0,0.0,0.0,0.0,0.0
2022-09-28,0.0,0.0,0.0,0.0,0.0
2022-09-29,0.0,0.0,0.0,0.0,0.0
2022-09-30,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,0.0,0.0
2022-10-02,0.0,0.0,0.0,0.0,0.0
2022-10-03,0.0,0.0,0.0,0.0,0.0
2022-10-04,0.0,0.0,0.0,0.0,0.0
2022-10-05,0.0,0.0,0.0,0.0,0.0
2022-10-06,0.0,0.0,0.0,0.0,0.0
2022-10-07,100.25,70.175,4,18.625000000000004,7.449999999999999
2022-10-08,3.0,0.6000000000000001,4,12.160714285714288,4.864285714285714
2022-10-09,0.0,0.0,4,5.829081632653064,2.3316326530612246
2022-10-10,0.0,0.0,4,1.3064868804664742,0.5225947521865895
2022-10-11,0.0,0.0,1.3064868804664742,0.0,0.0
2022-10-12,0.0,0.0,0.0,0.0,0.0
2022-10-13,1.25,0.25,1.0,0.0,0.0
2022-10-14,0.0,0.0,0.0,0.0,0.0
2022-10-15,0.0,0.0,0.0,0.0,0.0
2022-10-16,0.0,0.0,0.0,0.0,0.0
2022-10-17,1.75,0.35000000000000003,1.4,0.0,0.0
2022-10-18,49.0,14.7,4,21.642857142857142,8.657142857142855
2022-10-19,31.75,9.525,4,28.477040816326532,11.390816326530608
2022-10-20,0.0,0.0,4,17.483600583090382,6.99344023323615
2022-10-21,3.5,0.7000000000000001,4,11.631143273635988,4.652457309454395
2022-10-22,0.0,0.0,4,5.450816624025706,2.180326649610282
2022-10-23,0.0,0.0,4,1.0362975885897903,0.41451903543591606
2022-10-24,0.0,0.0,1.0362975885897903,0.0,0.0
2022-10-25,0.0,0.0,0.0,0.0,0.0
2022-10-26,0.0,0.0,0.0,0.0,0.0
2022-10-27,0.0,0.0,0.0,0.0,0.0
2022-10-28,0.0,0.0,0.0,0.0,0.0
2022-10-29,0.0,0.0,0.0,0.0,0.0
2022-10-30,0.0,0.0,0.0,0.0,0.0
2022-10-31,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,0.0,0.0
2022-11-02,0.0,0.0,0.0,0.0,0.0
2022-11-03,0.0,0.0,0.0,0.0,0.0
2022-11-04,0.0,0.0,0.0,0.0,0.0
2022-11-05,0.0,0.0,0.0,0.0,0.0
2022-11-06,0.0,0.0,0.0,0.0,0.0
2022-11-07,0.0,0.0,0.0,0.0,0.0
2022-11-08,0.0,0.0,0.0,0.0,0.0
